cid,text,time,author,channel,votes,photo,heart,reply,time_parsed
UgyNo00kgr3G6plqgfZ4AaABAg,"Be sure to set a reminder for the live premiere! Se you then!
For more Sci-Fi content, click here!: https://www.youtube.com/watch?v=TB6RCcUICLQ&list=PLmZTDWJGfRq3s40oehF1PffOLxABjmXOt",2 months ago,@WatchMojo,UCaWd5_7JhbQBe4dknZhsHJg,31,https://yt3.ggpht.com/ytc/AMLnZu-l7Zdv__cbONCNj1CL6e3PqZ8M440N8Z7EuLodnQ=s176-c-k-c0x00ffffff-no-rj,False,False,1665674247.418559
Ugz5nFxu-VF62764zid4AaABAg,No...Minority Report ?,31 minutes ago,@wnel47,UC4KVSuXfkd0T6kwbFcxBdEw,0,https://yt3.ggpht.com/ytc/AMLnZu_ePiUH6jRZW47SS1ZfdUkQ_CwFw7lvTq8d4Q=s176-c-k-c0x00ffffff-no-rj,False,False,1670946387.420558
Ugwf9HEebcbDZes3lZt4AaABAg,Amazing... your disgust for Interstellar is mind-boggling...,2 hours ago,@Gois83,UC_JoAFLO99l4jxgAv4mUVmQ,0,https://yt3.ggpht.com/ytc/AMLnZu_Sr_Qtt3U7Uj_so4WictNCtP2Lngnb3LIpTtVX=s176-c-k-c0x00ffffff-no-rj,False,False,1670941047.42158
UgwMN6xTU2M1mr-Z_Yd4AaABAg,So far off it’s not even funny totally lost credibility with me,3 hours ago,@joepettibone7588,UCDGLlpTUth8t5w_eqCcg39g,0,https://yt3.ggpht.com/ytc/AMLnZu94IsWGYae7RIVlUc5h-F_h6COIJzLKUwqLXA=s176-c-k-c0x00ffffff-no-rj,False,False,1670937447.422562
UgzV363pgHfPRLd3uqR4AaABAg,the man from earth worth a mention,4 hours ago,@endlessfreedomful,UCtQ0pCmsjKDFcVJ9OaKBbsQ,0,https://yt3.ggpht.com/ytc/AMLnZu9LqAiXObOeEophWfpX-2AB-0sK8cCKVMKlceOJdQ=s176-c-k-c0x00ffffff-no-rj,False,False,1670933847.423558
Ugw4CXRsNptF_8CfeIx4AaABAg,"Interstellar, Jurassic Park, Prometheus, Twelve Monkeys, Wall-E, The Thing, Edge of Tomorrow, Men In Black, The Fifth Element, Moon, The Abyss, District 9, Mr. Nobody, Looper, Eternal Sunshine Of The Spotless Mind, Source Code, A Clockwork Orange, Spiderman: Into The Spiderverse, Sunshine, Arrival, Guardians of the Galaxy, Ironman and Avengers: Endgame.",4 hours ago (edited),@kertenteria277,UCnrMdYxo-qoL3m-Rqf_E-FQ,0,https://yt3.ggpht.com/ytc/AMLnZu8-1CkQUnqfipBpB8TKEHV4kJLCfo4yAKGjQ_df8Q=s176-c-k-c0x00ffffff-no-rj,False,False,1670933847.424557
UgzfmaztF32vZT9uDEF4AaABAg,"""The Time Machine"" (1960 version Starring Rod Taylor) deserves to up there with other top entries.",4 hours ago (edited),@user-ob3fb2ho3v,UCDq8jAatyMwcNqKpHN5EkVw,0,https://yt3.ggpht.com/ytc/AMLnZu_9YzRXwEOVQXI6Nfaj06eFAZNz-4ZEir-YENteSA=s176-c-k-c0x00ffffff-no-rj,False,False,1670933847.426558
UgwM-RPWIhc2Ue79IjZ4AaABAg,I’m surprised fifth element didn’t make it,7 hours ago,@murph125,UCqen9eKjYr0sSH_k8ZS4b0Q,1,https://yt3.ggpht.com/ytc/AMLnZu-WW9wxzdXKkRJOtNSWz5yoGCq9ASx3X8W2eU5t9h-zreq8r2OHWPhDvIiTULpc=s176-c-k-c0x00ffffff-no-rj,False,False,1670923047.428559
UgzvqGpR49t2Od7dEr94AaABAg,What about predator and all those movies?,12 hours ago,@brewerbeargirl,UCwwGx_jqu15ADhjmdZjlv2A,0,https://yt3.ggpht.com/ytc/AMLnZu_AuDJyBzHqY4D3eu6FysagmmxJXqL6JZa-cX8cQQ=s176-c-k-c0x00ffffff-no-rj,False,False,1670905047.429566
Ugy0UzsHx72HjNFixqx4AaABAg,...MINORITY REPORT...,12 hours ago,@psychevisionproductions9304,UCPxy6Ykys2hK6_yz3U0vayA,0,https://yt3.ggpht.com/ytc/AMLnZu9P9_W2D9GM_p1s63RIfroS4HaGkBgGclFELQPh=s176-c-k-c0x00ffffff-no-rj,False,False,1670905047.43056
