cid,text,time,author,channel,votes,photo,heart,reply,time_parsed
Ugzk3HViQRuyPhYCmVp4AaABAg,"Did we forget one of your favorite films? Let us know in the comments below.

We're super excited to announce that The WatchMojo Game is here and available now on Amazon in the US! https://wmojo.com/game 
Available in other regions soon!",2 weeks ago,WatchMojo.com,UCaWd5_7JhbQBe4dknZhsHJg,37,https://yt3.ggpht.com/ytc/AMLnZu-l7Zdv__cbONCNj1CL6e3PqZ8M440N8Z7EuLodnQ=s176-c-k-c0x00ffffff-no-rj,False,False,1669738557.273212
UgxV8-grWYthIEUnmFh4AaABAg,The place beyond the pines is the most underrated movie of all time,8 hours ago,Michael Collins,UCjAgyYFdMUjmxIBSNwKNyMA,0,https://yt3.ggpht.com/ytc/AMLnZu_G0rxinuGiPPNQLGBoV2iJavreFHy77-xBYrSp3LmyDdsfDbT_XNgMluzEcyL9=s176-c-k-c0x00ffffff-no-rj,False,False,1670919357.275203
UgyH3asavugwqWwTfOd4AaABAg,i fucking hate adting,1 day ago,mike zeppieri,UCZfUkYRAHU3T7mpq-T8v90Q,0,https://yt3.ggpht.com/SPqznDIdMzrn4TE-6f9Dzq_UTPVg7btti_YThC5yxvRTLnrhjEs-RzVNT-tcrA3xo-pYzMLnxz0=s176-c-k-c0x00ffffff-no-rj,False,False,1670861757.275203
Ugzn4mwec-FEgq2zuwh4AaABAg,Sin City,1 day ago,jedigovna,UCCbGXdIkdn2iIRZqo7hVZFw,0,https://yt3.ggpht.com/DSE0phCBusCVKwCcTeOKYJUoipK38bo4J1nOYNAuV3q5hxsRclLVKxll1r1snmSP4SBnJWtu3g=s176-c-k-c0x00ffffff-no-rj,False,False,1670861757.276203
UgydNb7LDXHggZBYXsd4AaABAg,A simple plan blew my mind. It a classic thriller.,1 day ago,IndieMan !,UCpK-DZYYQTdSexNi3DOl1Dw,0,https://yt3.ggpht.com/Uionwve_lh7FbFd3RZ0J8eywRME6FRI3ttq1RcbPiatWiD3YztuS1aaOqJLqfZGEOL2L5BfZ4UY=s176-c-k-c0x00ffffff-no-rj,False,False,1670861757.278188
Ugz0oGVnK9OYA9T3oF54AaABAg,21:35 OMG TED BUNDY is still alive,2 days ago,VY,UCjBz-7DPNfA0SwX_RwQzdAg,0,https://yt3.ggpht.com/ytc/AMLnZu81ThPKcKpcSIXwH3Zb8QyBDwGvUE-2BkmSag=s176-c-k-c0x00ffffff-no-rj,False,False,1670775357.280206
Ugx0vDWpMHQlQx0eEFB4AaABAg,The Life Aquatic is great.  Karl urban as Dredd was great.  Big fan of Gattaca and Barry Lyndon .,2 days ago,Biff Strong,UCjlEzGXfnR-M0BFB_r0ghPQ,0,https://yt3.ggpht.com/ytc/AMLnZu9DvRLIHhCAaBSmE36gJ4d8Kpxgn_t6CFgUMA=s176-c-k-c0x00ffffff-no-rj,False,False,1670775357.281172
Ugxpwv6X0nT_zP393wV4AaABAg,Bubba Ho-Tep,3 days ago,jimmy e,UCixz9Z3Z8unOAjiPE9E9EAg,0,https://yt3.ggpht.com/ytc/AMLnZu_YwRRR_3QJpeqVjg579kuF1QfqWHYc6zsCFofi=s176-c-k-c0x00ffffff-no-rj,False,False,1670688957.283178
UgwrHEsjtchciwvQDud4AaABAg,"The sunset limited, the gentleman, boss level, black snake moan, always outnumbered, nice guys, and the quick and the dead.A few films that I think are underrated and more people should watch",3 days ago,HotCooking,UCqggPnLLt6asIRqPCEH0ixA,0,https://yt3.ggpht.com/ytc/AMLnZu-lGRdDUjbhrPhXILXiMwwVgOVJuR5BeiUYsA=s176-c-k-c0x00ffffff-no-rj,False,False,1670688957.285207
Ugy7nJ5Z2kylrWaFMZt4AaABAg,"So many excellent movies on your list. 
I love
Blow Out
Kiss Kiss Bang Bang
Gattaca
50/50
Jennifer's Body
Clue
If you're looking for a Billy Bob movie, you should check out Slingblade.

Dan in real life was unexpectedly good.",3 days ago (edited),Lynne McGee,UCOXu257wss6pUA9R5siYjRA,0,https://yt3.ggpht.com/ytc/AMLnZu9T8eNisL-0y3gkZh6QDZmU3cmnPOjNOyCFnVDR4I0=s176-c-k-c0x00ffffff-no-rj,False,False,1670688957.286173
