cid,text,time,author,channel,votes,photo,heart,reply,time_parsed
UgziGznpXdFeatzPWsJ4AaABAg,Which movie from the last 20 years is your fav?,2 years ago,WatchMojo.com,UCaWd5_7JhbQBe4dknZhsHJg,311,https://yt3.ggpht.com/ytc/AMLnZu-l7Zdv__cbONCNj1CL6e3PqZ8M440N8Z7EuLodnQ=s176-c-k-c0x00ffffff-no-rj,False,False,1607874193.663075
UgxuRB_DMTBhpDUqswt4AaABAg,There will be blood is greatest,6 days ago,G Chudasama Darshit,UC-gD1CSP2EJwUB_qCfWihzw,1,https://yt3.ggpht.com/ytc/AMLnZu92dkqLxZd2dSO4Y1_MkN1wVrVXUEgdCHL7ZQ=s176-c-k-c0x00ffffff-no-rj,False,False,1670427793.665075
UgzbRCnR5-fVh3GSOEp4AaABAg,Where is Intersteller and Inception,10 days ago,Damodhar Bulbule,UCtGgRnUd1v7zP-fGWVScJ6w,1,https://yt3.ggpht.com/WXLFMpAvpD9H0gmLYiWtBVG4rFhINctKu_iqZ0MmZ0PNcnroehpQj2amKXsVT3sxEVnPDDCmgA=s176-c-k-c0x00ffffff-no-rj,False,False,1670082193.666109
UgzGcal0xB3oWRIFOb14AaABAg,"wow, it is funny how different opinions are, both me and my wife agree that kill bill, get out, and eternal sunshine of the spotless mind were some of the worst movies ever.",2 weeks ago,Trevor Handermann,UC-PyKT3hvQi3ngUezntzYEA,0,https://yt3.ggpht.com/ytc/AMLnZu8Kp-uTjIjHIiQQ1k_h2PXDoaeZbV4PaoB0zw=s176-c-k-c0x00ffffff-no-rj,False,False,1669736593.667111
UgyMBXfxhcrRBN3ztDx4AaABAg,The Departed is number 1 on ma list.,1 month ago,Brian Anthony Pabalate,UCdExihMbpcjvSf-ivzgLXdg,0,https://yt3.ggpht.com/ytc/AMLnZu83Yv4DrPu_zbWQ2aJe8kEVQgYw_sxn6Y4omAg6yg=s176-c-k-c0x00ffffff-no-rj,False,False,1668354193.669076
UgyG2jRCj0XnrliKVU94AaABAg,"I like the lists made by WatchMojo - but not this! The social networked should be the best film of the century, really? A lot of really good films are missing!!! What's about:

- Amélie (2001)
- Spirited Away (Ghibli, 2001) [Animated]
- Brokeback Mountain (2005)
- The Lives of Others (2006)
- Gran Torino (2008)
- Milk (2008)
- Slumdog Millionaire (2008)
- The Baader Meinhof Complex (2008)
- Wall-e (2008)
- Avatar (2009) [Animated]
- Fish Tank (2009)
- Inglorious Basterds (2009)
- Inception (2010)
- Drive (2011)
- The Tale of the Princess Kaguya (Ghibli, 2013) [Animated]
- Boyhood (2014)
- Interstellar (2014)
- Tangerine L.A. (2015)
- Arrival (2016)
- Center of my world (2016)
- La La Land (2016)
- Manchester by the Sea (2016)
- Toni Erdmann (2016)
- Call Me By Your Name (2017)
- The Dark Tower (2017)
- Bohemian Rhapsody (2018)
- Burning (2018)",2 months ago,H. Sch.,UCPT4olN4PElBIwLZd3Dfchg,0,https://yt3.ggpht.com/ytc/AMLnZu9v6VUjyyWv7eV4tCCyOPCRBEv8GWJcWtTF6XWbag=s176-c-k-c0x00ffffff-no-rj,False,False,1665672193.671077
UgzhXXVtk8MhtZi_Yn54AaABAg,if these are on next channel please for me pitch perfect  monte carlo (2011) version any DCOM picture this so undercover sisterhood of the travelling pants mean girls now those are entertaining but life of PI breakthrough miracles from heaven based on true events but tear jerker those work too,2 months ago,Sarah Ramsey,UCk4Z3Ao6gGDkMN6Sit3dU0w,0,https://yt3.ggpht.com/ytc/AMLnZu9vqyDXUqypnXbhLS8XizZMXb1BhltRMbRqKQ=s176-c-k-c0x00ffffff-no-rj,False,False,1665672193.673075
UgzD2qE5SPnewhSrZAt4AaABAg,Get Out is overrated,3 months ago,I say whatever I want and you gotta deal with that,UC4rN6XsBFQc-3vC-RRhSYKA,1,https://yt3.ggpht.com/ytc/AMLnZu-y-W-rggdwkPskZAjXzksaPAcYzvlHJHYLxQ6g0g=s176-c-k-c0x00ffffff-no-rj,False,False,1663080193.67511
UgwefFL2eBS-Me2nUVJ4AaABAg,The Social Network is not better than The Dark Knight,3 months ago,Mr Penguin,UCkMFAASt4xxh7Ksp9VikVPg,0,https://yt3.ggpht.com/ytc/AMLnZu9Z3xnj4eBX_QD1amS6oHekqiuuEkTNfwIkk3MPZA=s176-c-k-c0x00ffffff-no-rj,False,False,1663080193.676107
Ugz5O2V6XGFJoY7vZfV4AaABAg,No Country For Old Men and Parasite should have been higher.,3 months ago (edited),Mr Penguin,UCkMFAASt4xxh7Ksp9VikVPg,0,https://yt3.ggpht.com/ytc/AMLnZu9Z3xnj4eBX_QD1amS6oHekqiuuEkTNfwIkk3MPZA=s176-c-k-c0x00ffffff-no-rj,False,False,1663080193.678075
Ugwx3cvqyWM2kR1H4k94AaABAg,Shitty list,3 months ago,Bengt Fredriksson,UC2faZ5IZHiJs6K9VEkV1wLw,0,https://yt3.ggpht.com/ytc/AMLnZu_u7EJWGsUOTSWgywW8oyB8SyWG-ieGtD34sg=s176-c-k-c0x00ffffff-no-rj,False,False,1663080193.680108
UgxC-RlACw7Nio79u4N4AaABAg,Where is Gladiator?? Pirates of the Caribbean?? ..,4 months ago,ياسر العمري,UCuqIbFMnM9Qu_ZNvYNcs9xw,0,https://yt3.ggpht.com/ytc/AMLnZu-WqBXriU9JwIii-d-vlnTXFJ-Ia5Qlha42ASjZMA=s176-c-k-c0x00ffffff-no-rj,False,False,1660401793.683077
